Symbol,Conclusion,Price,Market Cap (Cr),Score (%),market_cap,stock_price,eps,eps_growth_5y,roe,roce,operating_margin,net_margin,gross_margin,de_ratio,interest_coverage,current_ratio,quick_ratio,free_cash_flow,cash_conversion_ratio,revenue,revenue_growth_5y,profit,profit_growth_5y,operating_leverage,pe_ratio,peg_ratio,pb_ratio,ev_ebitda,beta,dividend_yield,liquidity,promoter_holding,promoter_holding_growth,quarterly_revenue,quarterly_profit,quarterly_eps,quarterly_revenue_growth,quarterly_profit_growth,quarterly_eps_growth,quarterly_de_ratio,quarterly_current_ratio,quarterly_interest_coverage,market_cap (s),stock_price (s),eps_growth_5y (s),roe (s),roce (s),operating_margin (s),net_margin (s),de_ratio (s),interest_coverage (s),current_ratio (s),free_cash_flow (s),revenue_growth_5y (s),profit_growth_5y (s),cash_flow_growth (s),pe_ratio (s),peg_ratio (s),pb_ratio (s),ev_ebitda (s),liquidity (s),promoter_holding (s),promoter_holding_growth (s)
GEEKAYWIRE.NS,,66.84,350.129408,73.33333333,3501294080,66.84,6.39,0.590620941,0.24410999,0.11662,0.123509996,0.073709995,0.17003,69.214,7.275698783,1.595,0.717,-133456752,,4583149000,0.211291315,362260000,0.591004699,2.79710834,10.4600935,0.177103329,2.291081,7.672,0.179,0.96,46848,58.49,0.07,"[917379000.0, 1240251000.0, 1133031000.0, 1238302000.0, 971565000.0]","[71884000.0, 73747000.0, 96224000.0, 91967000.0, 100321000.0]","[1.38, 1.84, 1.76, 1.92]","[0.3519505024640852, -0.08645024273312418, 0.09291096183599556, -0.21540545036671188]","[0.0259167547715764, 0.30478527940119604, -0.044240522115064795, 0.09083693063816378]","[0.3333333333333335, -0.0434782608695653, 0.09090909090909083]","[0.6921403989023933, 0.76761206421391, 0.7463672679858225, 0.8192872791117835, 0.7727091715416451]",[],"[6.5694573283859, 5.754920163386558, 7.075920786490427, 8.530826516908803, 7.907750588717109]",5,5,5,5,3,3,3,0,5,5,0,5,5,0,5,5,3,5,0,5,5
GLOBAL.NS,,59.76,308.0157952,70.47619048,3080157952,59.76,4.98,0.088804776,0.24044001,0.15993,0.34058,0.34841,0.54374003,,,5.133,3.615,273503136,,722805000,0.224150069,281933000,0.374700342,1.671649463,12,1.351278677,2.662983,9.386,-0.885,2.45,50017,72,0,"[148285000.0, 164800000.0, 166960000.0, 246265000.0, 144781000.0]","[42076000.0, 42474000.0, 61175000.0, 106900000.0, 70953000.0]","[0.83, 1.2, 2.1, 1.39]","[0.11137336885052429, 0.013106796116504782, 0.47499401054144696, -0.41209266440622905]","[0.009459074056469285, 0.44029288505909503, 0.7474458520637515, -0.33626753975678203]","[0.4457831325301205, 0.7500000000000002, -0.3380952380952381]",[],[],[],5,5,0,5,5,5,5,0,0,5,5,5,5,0,5,3,0,5,3,5,3
NAGREEKCAP.NS,High debt,34.6,44.5814176,67.61904762,445814176,34.6,14.09,0.728181178,,,0.52332,0.31806,0.64759004,450.75,5.040456849,,,,,550101000,0.524085218,185616000,0.729260749,1.39149269,2.4556422,0.033722956,2.0657947,4.694,-0.254,,134912,53.53,0,"[52373000.0, 236670000.0, 71862000.0, 118681000.0, 107506000.0]","[35857000.0, 75280000.0, 26203000.0, 40460000.0, 43673000.0]","[2.84, 2.08, 3.21, 3.46]","[3.518931510511141, -0.6963620230700975, 0.6515126214132643, -0.09415997505919227]","[1.099450595420699, -0.6519261424017003, 0.5440980040453383, 0.07941176470588229]","[-0.2676056338028169, 0.5432692307692306, 0.0778816199376946]","[3.939542808462303, 5.867612643029591, 32.56885597349444]",[],"[3.5677381398085255, 6.093945514557367, 3.4755018952688475, 4.9638271333186585, 5.180115788721321]",5,5,5,0,0,5,5,0,5,0,0,5,5,0,5,5,3,5,5,5,3
AMJLAND.NS,Good but low ROE,54.49,223.4089984,66.66666667,2234089984,54.49,4.88,0.321951732,,,0.33159,0.27085,0.60678,,65.50339864,,,,,776458000,0.39349342,204669000,0.322809315,0.82036776,11.165984,0.346821678,0.98350304,4.017,0.186,0.37,20752,65.94,0.04,"[142669000.0, 254931000.0, 153552000.0, 111026000.0, 256949000.0]","[34722000.0, 104215000.0, 22704000.0, 38304000.0, 39446000.0]","[0.85, 0.55, 0.96, 0.96]","[0.7868703081958941, -0.39767231133130143, -0.27694852558091065, 1.314313764343487]","[2.0014112090317377, -0.7821426857937916, 0.6871035940803383, 0.029814118629908126]","[-0.3529411764705882, 0.7454545454545451, 0.0]","[0.0, 0.04139427361586013, 0.08382281198710917]",[],"[38.65646179013788, 17.251363636363635, 20.16002747252747, 15.729911249700168]",5,5,5,0,0,5,5,0,5,0,0,5,5,0,5,5,5,5,0,5,5
IVC.NS,,7.95,250.6017024,61.9047619,2506017024,7.95,0.42,0.188784391,0.06356,0.03592,0.45966998,0.29757,0.74857,,,16.518,15.425,58793000,,290757000,-0.112931562,131464000,0.190584374,-1.687609468,18.928572,1.002655566,1.2170851,9.47,-0.328,3.54,138860,50.42,0,"[75759000.0, 85226000.0, 52038000.0, 77734000.0, 131795000.0]","[122782000.0, 32322000.0, 10458000.0, -34097000.0, 48592000.0]","[0.1, 0.03, -0.11]","[0.12496205071344657, -0.3894116818811161, 0.49379299742495864, 0.6954614454421488]","[-0.7367529442426415, -0.6764432894004084, -4.26037483266399, -2.425110713552512]","[-0.7, -4.666666666666667]",[],[],[],5,5,3,0,0,5,5,0,0,5,5,0,3,0,3,3,5,5,5,5,3
SHRADHA.NS,,46.65,281.9994112,60.95238095,2819994112,46.65,1.65,1.318673547,,,0.22638,0.16588,0.29540002,89.344,13.31065463,,,,,1065865000,2.896703375,184494000,1.322711721,0.456626568,28.272728,0.214402784,1.5488048,12.425,0.545,0.91,56485,74.97,0.03,"[261837000.0, 426128000.0, 225808000.0, 123479000.0, 290450000.0]","[37776000.0, 54663000.0, 41152000.0, 38473000.0, 50206000.0]","[0.64752, 0.699322, 0.656139, 2.141133]","[0.6274552488762093, -0.4700934930349566, -0.45316817827534894, 1.352221835291831]","[0.4470298602287166, -0.24716901743409614, -0.06510011664074655, 0.30496711979830016]","[0.08000061774153688, -0.061749809100814734, 2.2632308093254627]","[1.004840758650044, 1.6475053133297337, 1.4711039838241575]",[],"[8.920330915684497, 5.667659792374657, 52.30796089385475, 38.26192031352058, 1644.3720930232557]",5,5,5,0,0,5,5,0,5,0,0,5,5,0,0,5,3,3,3,5,5
RKEC.NS,,65.94,158.1940224,59.04761905,1581940224,65.94,8.35,0.160746095,0.098929994,0.04836,0.118540004,0.04378,0.26367,107.701,2.751352457,1.359,0.54,-1007411904,,4219225000,0.260846257,200376000,0.411920808,1.579170862,7.897006,0.491272027,0.82782,7.326,0.883,,49026,66.8,2.53,"[1414253000.0, 1189792000.0, 768445000.0, 846735000.0, 1344193000.0]","[27167000.0, 82588000.0, 37474000.0, 53146000.0, 54996000.0]","[3.44, 1.56, 2.22]","[-0.1587134692307529, -0.354135008472069, 0.10188107151455217, 0.5875014024458656]","[2.040011778996577, -0.5462536930304644, 0.4182099589048407, 0.03480976931471802]","[-0.5465116279069767, 0.42307692307692313]","[1.12344672725625, 0.975685559653663, 0.9441559669267466, 0.8388536236407647, 0.8910287235247346]",[],"[3.729174527313126, 2.8104512761759275, 2.1134992897561884, 2.7598362629424513, 2.5554145818441745]",5,5,3,0,0,3,0,0,3,3,0,5,5,0,5,5,5,5,0,5,5
HYBRIDFIN.NS,good but Declining Quarterly Performance,17.56,54.7569344,58.0952381,547569344,17.56,1.09,0.33206951,,,0.49016,0.49122003,1,3.574,1485.115385,,,,,40975000,0.062698338,38369000,0.329346428,5.252873322,16.11009,0.485142102,1.3328272,,-3.438,,149495,64.01,0,"[13645000.0, -3679000.0, 12790000.0, 17943000.0, 13921000.0]","[7371000.0, 10709000.0, 3152000.0, 11072000.0, 13436000.0]","[0.25, 0.11, 0.38, 0.46]","[-1.2696225723708319, -4.476488176134819, 0.40289288506645815, -0.22415426628768875]","[0.4528557861891196, -0.7056681296106079, 2.512690355329949, 0.21351156069364152]","[-0.56, 2.4545454545454546, 0.21052631578947367]","[1.5308778053335782e-05, 0.03792574612979613, 3.998067600659681e-05]",[],"[388.94736842105266, 273.71794871794873, 316.2, 471.2083333333333, 434.4193548387097]",5,5,5,0,0,5,5,0,5,0,0,0,5,0,3,5,5,0,5,5,3
NOVAAGRI.NS,good but bad quarter,45.23,410.2341888,58.0952381,4102341888,45.23,2.86,0.272675901,,,0.10588,0.08826999,0.30419,24.867,8.48906545,,,,,2941316000,0.165949571,274220000,0.260586432,1.570274821,15.814686,0.579981066,1.8401887,10.534,,,77559,59.38,0,"[467485000.0, 813404000.0, 881891000.0, 419145000.0, 707735000.0]","[32454000.0, 58122000.0, 105580000.0, 42775000.0, 82827000.0]","[0.36, 1.17, 0.47]","[0.7399574317892552, 0.08419801230384905, -0.5247201751690402, 0.6885206790013003]","[0.790904048807543, 0.8165238635972609, -0.5948569804887289, 0.9363413208649913]","[2.25, -0.5982905982905983]","[0.24866675008246789, 0.31693265487266437]",[],"[4.468622584648112, 8.951681415929203, 13.20522257273046, 4.8188078841130375, 5.413345050530412]",5,5,5,0,0,3,3,0,5,0,0,5,5,0,3,5,3,3,3,5,3
ALANKIT.NS,,12.12,336.620416,56.19047619,3366204160,12.12,0.65,0.658571859,,,-0.13557,0.07452,0.38913,3.61,9.083929784,,,,,3010058000,0.329292513,198568000,1.034919683,3.142858226,18.646154,0.283130136,1.0765678,17.459,0.676,,406449,54.14,0,"[907785000.0, 1019638000.0, 727658000.0, 643485000.0, 619277000.0]","[51524000.0, 42171000.0, 50920000.0, 31475000.0, 74002000.0]","[0.19, 0.19, 0.12, 0.27]","[0.1232152987766928, -0.28635653045492615, -0.11567659532362728, -0.03762014654576251]","[-0.1815270553528453, 0.2074648455099477, -0.3818735271013354, 1.3511358220810168]","[0.0, -0.368421052631579, 1.2500000000000004]","[0.038829964886005056, 0.09979425086076946, 0.15798029328367072]",[],"[15.368722615436468, 11.838599162542824, 5.975835475578406, 7.485822704753874, 11.004204625087596]",5,5,5,0,0,0,3,0,5,0,0,5,5,0,3,5,5,0,5,5,3
